reviewer_name,rating,review_date_raw,review_text,useful,funny,cool,source
Kim G.,1,2021-06-03T21:13:46Z,Well never order from Wazobia again they're not consistent fish is always cold and old and when you wait they pretend they're going cook fresh fish pull off and it's the same fish . Tried to complain to manger and the woman would not connect pretended to put me on hold and kept hanging up . My colleagues have experienced the same behavior so as a collective we've decided to take them out of our lunch pool and will no longer order personally. We see opting fir Naeto's and Michelle's ! Learn how to treat people with quality service and food because you've lost a big business with my colleagues and family !!!,0,0,0,yelp
Emmanuel O.,1,2021-05-15T03:07:03Z,"Wazobia in its current iteration disappoints as with a host of other foreign businesses that doesn't incentivize customer loyalty after finding success. Most restaurants entertain reasonable customer requests or propose some kind of compromise inline with the ancient principle of customer satisfaction. As with most food items, customers might prefer unique variations and Wazobia at its inception took this into account, which probably formed the premise of the success they now enjoy. Now, their policy is - ""my way or the highway, if you don't want it, others will"" - an attitude that alienates even the most loyal of customers, especially Nigerian folks, who try to support community owned businesses. I will not return to Wazobia after 6 years of almost weekly patronage, and this pains me tremendously.",1,0,0,yelp
Melissa O.,1,2021-03-18T22:25:32Z,"This food was so disgusting. The jollof rice tasted burnt and had no flavor and the oha soup was thick and bland there was only 1 piece of chicken, cow tongue, and tripe. I am a cook and know how to cook jollof rice and have been to Lagos so I know what it's supposed to taste like. When I asked for a refund they told me they don't allow refunds. By law they must have a sign that says NO REFUNDS but they didn't so I WILL NEVER come back here.",1,0,0,yelp
Yasir d.,5,2021-02-01T00:12:16Z,"5/5. Drove 35 minutes for my craving for Egusi, and they did not fail me. Walked right in, and was greeted with a smile and a lovely aroma of delicious food. I ordered goat egusi, and got fufu (they also have amala, eba and other choices). I got my food to go, and was happy to find that when I got home from another 35 minute drive, and my egusi was still piping hot, and my fufu still steaming and fresh. Would 10/10 recommend this location if you're craving delicious Nigerian food.",0,0,0,yelp
Femi B.,1,2021-01-06T19:39:29Z,"Never order their Catered Fried Rice. I cater from them often for parties for parties and I've never had a compliant as I am a very easy customer to please.  However, last week I ordered their friend rice for the first time, by the time I took it out of the refrigerator the next day to dish it, the rice was slippery (basically spoilt). I called the restaurant immediately, and after several attempt to tell me it was not their fault, they finally called me back 2 days later to offer me a 50% refund for food I was not able to use for the party.  Needless to say I was very upset and disappointed.  At the end of the day it is more about principle of the matter, than the money it self.  What does it cost the restaurant to give a customer their refund for a product that was damaged,  especially from a regular customer who's never had a compliant.",0,0,0,yelp
Deji A.,2,2020-09-20T15:01:08Z,"I have tried a lot of different things in the kitchen. Although I have only been to the one on beechnut. The one thing I love from them is the most disappointing thing, the catfish stew with just one fish for $11, the stew is good and tasty with awesome spicy kick . The egusi is ok but no one want muscle everytime come up with a better meat combination. The efo has no taste to me so is the meat pie, fish pie is good and the beef roll is also good, scotch egg is good, stew is good but their designer stew needs work. Why would anyone pay $14.99 for nkwobi in a small bowl when i can go down the street and get a bigger bowl for 10.99. Fried fish,turkey, chicken and grilled chicken are good but no seasoning. Pepper goatmeat is good but too many bones and not enough meat. Pepper meat is good. Tried the jollof rice and it was blend, goatmeat pepper is ok, catfish pepper has one fish.",1,0,0,yelp
Darlene O.,4,2020-09-14T06:44:09Z,"Better than expected. Had heard about this place from a coworker. I looked their website up and was surprised the kitchen offers online ordering. I placed my order and received an immediate text then a follow-up confirmation call. Very pleased at how tech savvy they are. Ease of ordering was great, customer service was good.   SO on to the food....  When picking up an online order, GO TO THE KITCHEN NEXT DOOR, not the grocery market. Even though the grocery market has a snack bar area, that is not where you pick up your food. If I hadn't asked, I would have continued standing around for nothing but the market snack bar had: small jollof rice plates packaged in an aluminum container with plastic lid, scotch eggs, some meat pies and I think I remember seeing sausage rolls. All self serve. I picked up some scotch eggs which were good. I disliked the separation and thin coating of the sausage/breading because I could see the egg showing in certain places. But it still tasted good.   The market is sparse like some other reviewers had mentioned. I only needed Maggi and the cashier was kind enough to literally RUN and grab it for me because I had asked where could I find it since I missed it when I perused through the shelves. That was so kind! I think they had a bakery to the right (wasn't paying attention) as soon as you walk in, about three aisles of grocery store items, a small fresh meat deli/butcher section.  On to the food for real... I ordered a ton of food because I am impatient and my schedule doesn't allow me to drive to this location as often as I'd like. So I ordered the jollof rice plate with extra goat meat and shaki (the jollof rice plate is just the jollof so ""extra"" meat means adding to the rice not that they provide goat meat and shaki initially if that makes sense), meat pie (meat was too soft and the pie was too thick for my liking), chicken pie (chicken was spicy which was surprisingly good and shredded for some reason I thought it would be minced, but the chicken was dry, would have enjoyed this more if there was a dipping sauce or something), catfish pepper soup (FYI is available after 3PM), goat pepper soup and beef/sausage rolls. My favorite was the beef/sausage rolls! It is advertised on their website as a beef roll but it definitely tastes like sausage and in the description it said sausage. It is long, the crust is perfect, and I'm so glad i ordered a lot of these because I can freeze them and bring them out later. They packaged all my items WELL, nothing spilled over or made a mess when I got home and unpacked.  Even with an online order, you still have to wait in line. The line can be long and if a customer is indecisive or has a big order, yep you still have to wait. I also didn't like how customers had already placed their order/been attended to but were milling about in front of the counter as if they were waiting to be served which made it confusing if they were in line or had already been serviced but waiting for their food.  I'd support the restaurant/kitchen again.",3,1,4,yelp
Ameen T.,1,2020-09-05T00:16:45Z,Very rude set of workers all over. The fact is even if you are getting the food for free no one deserves that type of treatment because you will still be annoyed. Very bad customer service and rude people. Just came after years and remembered why why I stopped coming.,0,0,0,yelp
Foodie R.,4,2020-07-15T23:31:27Z,I prefer Southwest farmers market but this will do. They don't have as much options but again this will do,0,0,0,yelp
Asabe H.,5,2020-06-04T06:02:10Z,Well organized compared to some other Africa stores . Staffs are always willing and available to help . You always get to see someone around to ask for help .,2,1,3,yelp
Flo A.,5,2020-02-12T20:54:00Z,This was literally the BEST Afang soup and jolly rice that I have ever eaten from any African Restaurant.I ordered via Grubnub and the food was on time and warm.Keep up the god work.Dr Flo,0,0,0,yelp
Nneka A.,5,2019-10-02T17:22:04Z,"The best African Markets in Houston. Their food and service is consistent, the employees always greet with a smiling face. Kudos to the owner for raising the quality standard in the Diaspora food industry and really reaching out to the community. Get the food next door, it's all delicious and freshly made.  I will keep coming back!",0,0,1,yelp
D'Nia M.,5,2019-05-16T02:10:22Z,"Love this place! You can get ginormous and yummy Puff Puff for $0.50, the meat pies are large and delicious--$1.50, and the amazing Jollof Rice meals come with your choice of fish or chicken all for $4.50! I'm so happy I found this place!",0,0,0,yelp
Cynthia J.,4,2018-09-18T23:56:26Z,"This is an African food market that is adjourned to a restaurant selling food to dine in or take out. Most take out. I came here because a coworker was kind enough to share his plantain chips with me and I was instantly addicted! The taste is so much like delicious fried sweet plantain. He also told me they have good pepper soup which is so simple but my favorite Nigerian dish that I came across since I have so many Nigerian friends. The goat meat pepper soup is spicy and delicious. It's simple comfort food to me. I will be here often. Especially to get the soup through the colder months.  The market part of the establishment sells dry goods, fresh produce that is a staple in Nigerian cuisine, frozen food stuffs, beverages, and calling cards. Pretty popular place. I like it!!!",25,8,20,yelp
Onyx O.,5,2018-09-02T23:12:56Z,"Very neat and affordable market. Though it's really far from where I stay, it was worth the drive.  The meals are fresh and very tasty.",1,0,0,yelp
Akintayo O.,5,2018-07-30T17:56:59Z,"Love the catfish stew, it's spicy and delicious at the same time. My only problem is that you'll have to buy two plates of rice to accompany the stew but it's worth it.",1,0,0,yelp
Debbie A.,5,2018-06-06T15:32:51Z,"I don't leave reviews often but I want people to know how exceptional the service is at this store. Whenever I go to an African market the customer service is always terrible they make me feel as if I need them more than they need my service, but Wazobia is the exception! They have a great selection of grocery stuff and their restaurant is consistently good, keep it up Wazobia!",0,0,0,yelp
Michelle C.,3,2018-03-12T00:45:28Z,"Good customer service however, the prices are very high. Paid, $12.99 for smoked fish and found same amount of smoked fish at Fiesta for $5.00.",0,0,0,yelp
Christy H.,5,2018-01-13T01:12:03Z,Excellent food and good groceries. Really good food!!!!! Shish Kebob out of this world. The best Chicken and meet pies.  Really good meat rolls. Great Location.,0,0,0,yelp
Ben C.,1,2017-06-29T20:38:26Z,"Please watch your receipt when you shop here, this folks are thief. They will put something on the shelf for lower price, but when they scan it, the price will be double and if you are not paying attention you will pay the double price. And be also aware that they charge tax on food items, Somebody will soon call the IRS on them",0,0,0,yelp
Alex M.,5,2016-11-06T15:42:41Z,"This store has remained my fav for going on 2 years now. Every time my guest from out of state comes I order from the restaurant, the food delivery girl always prompt with her services. I like this place and I didn't hesitate to give it 5",0,0,0,yelp
Jay P.,2,2016-06-11T23:20:23Z,"Really glad I tried it out, unfortunately my taste buds did not agree with the savor. A delicacy for African tribes is a fish which they add to many of their dishes. Dishes that I tried tasted like old fish residue  (which is how they love it) but again not for me. The waitress was really nice, however, after so many questions we had she got annoyed or bothered. She did tried to cover it up and I guess it didn't kill me seeing her expression. Will not be back.",0,0,0,yelp
Nero L.,4,2016-03-29T15:36:04Z,"Really decent food and service. Clean location, will return for sure",0,0,0,yelp
Ebbony H.,5,2015-12-07T00:59:40Z,My boyfriend brought me some jollof rice from here and it was soooooo freaking delicious I will be back!,0,0,0,yelp
Oge O.,4,2015-12-01T00:16:27Z,"Goat meat Pepper soup was absolutely delicioussss. Egusi was just ok it wasn't bad but it definitely wasn't too good and the meat was seriously lacking I asked for assorted meat and got one piece of stockfish, 1 piece of beef and a tiny piece of tendon. It was just ok but the lack of meat made me almost feel cheated , I'll go back for the goat meat pepper soup bcz it was so so so good! Never even knew such a place existed in fort bend.",2,0,0,yelp
C A.,4,2015-02-07T18:03:35Z,"As many West African and Caribbean groceries as you can imagine as well as movies, skin creams, and hot prepared Nigerian food are available here.  The hot food is DELICIOUS!!! One of my favorite snacks here is the Coconut Chips - once you take the first bite, you will not want to share it.  One unique fufu they carry here is amazing: OatWheat.  The staff is easy to talk to if you cannot find something you are looking for.",0,0,0,yelp
